session_id;PROLIFIC_PID;status;started_datetime;completed_date_time;time_taken;age;num_approvals;num_rejections;prolific_score;reviewed_at_datetime;entered_code;Country of Birth;Current Country of Residence;Employment Status;First Language;Fluent languages;Nationality;Sex;Student Status
60acd645c1ff44aaf2ab2e63;5db6ec97d9b41d000b2464eb;APPROVED;2021-05-25 10:49:41.750000;2021-05-25 11:15:01.061000;1.519.311;35;280;0;100;2021-05-28 10:45:50.466000;51867BAD;Turkey;United Kingdom;Part-Time;Turkish;Turkish, English;Turkey;Female;Yes
60ace89851096a9ae3b09ab0;5db9877aee6f57000b1487c5;APPROVED;2021-05-25 12:07:52.166000;2021-05-25 12:31:16.908000;1.404.742;31;101;2;99;2021-05-28 10:46:10.349000;51867BAD;Portugal;Netherlands;Full-Time;Portuguese;English, Dutch, Portuguese, Spanish;Portugal;Male;No
60ace0ff8cc8d8d5a8521028;5dbd96bc80dbee2c71a8c9d6;APPROVED;2021-05-25 11:35:38.196000;2021-05-25 11:54:32.585000;1.134.389;24;479;0;100;2021-05-28 10:46:16.843000;51867BAD;United Kingdom;United Kingdom;Not in paid work (e.g. homemaker', 'retired or disabled);English;English;United Kingdom;Female;No
60acb3f20b40f096de6b1c63;5dd6a775e426bd627cb2a7f3;APPROVED;2021-05-25 08:23:33.319000;2021-05-25 08:43:36.442000;1.203.123;21;142;0;100;2021-05-28 10:46:25.085000;51867BAD;Poland;Poland;Unemployed (and job seeking);Polish;Polish, English, German;Poland;Female;Yes
60acd65849a12efc72dda0ff;5ddd631f063ebd000dbe0687;APPROVED;2021-05-25 10:50:11.648000;2021-05-25 11:42:44.827000;3.153.179;35;507;2;100;2021-05-28 10:46:32.186000;51867BAD;Bulgaria;United Kingdom;Full-Time;Bulgarian;Bulgarian, English, Russian, German;United Kingdom;Male;No
60abbdb7b034de4b0f624ac6;5deb9d5503356528d65d6bbb;APPROVED;2021-05-24 14:52:39.526000;2021-05-24 15:14:12.422000;1.292.896;20;145;0;100;2021-05-24 17:30:17.543000;51867BAD;Italy;Italy;DATA EXPIRED;Italian;Italian, English;Italy;Male;Yes
60ace0c4fe89ffbf5ad5a0ab;5debdf9af375c62d4876fa39;APPROVED;2021-05-25 11:34:28.281000;2021-05-25 11:53:09.427000;1.121.146;45;404;1;100;2021-05-28 10:46:42.076000;51867BAD;United Kingdom;United Kingdom;Not in paid work (e.g. homemaker', 'retired or disabled);English;English;United Kingdom;Female;No
60acc96bcedbf092292be541;5dfedfbb557425b599c8c523;APPROVED;2021-05-25 09:55:22.564000;2021-05-25 10:16:29.424000;1266.86;52;424;3;100;2021-05-28 10:47:04.964000;51867BAD;United Kingdom;United Kingdom;Part-Time;English;English;United Kingdom;Female;No
60acd701d1fbc89b3fdc20ba;5e22fe5aed7a205b0626f097;APPROVED;2021-05-25 10:52:49.910000;2021-05-25 11:10:54.724000;1.084.814;19;176;1;100;2021-05-28 10:47:19.121000;51867BAD;Poland;Poland;Not in paid work (e.g. homemaker', 'retired or disabled);Polish;Polish, English;Poland;Female;Yes
60ace894078aefd1950d5386;5e2589408688087d9bb4c1bd;APPROVED;2021-05-25 12:08:22.059000;2021-05-25 12:30:47.701000;1.345.642;22;99;2;99;2021-05-28 10:47:24.781000;51867BAD;Spain;United Kingdom;Part-Time;Spanish;English, Spanish;Spain;Female;Yes
60acc7f13ba026615af97b4f;5e277e5b5f39769bacb46101;APPROVED;2021-05-25 09:48:42.631000;2021-05-25 10:17:35.214000;1.732.583;46;328;1;100;2021-05-28 10:47:31.169000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Female;No
60acd6f0e078350215d81423;5e3723a2c0b2896ad554be73;APPROVED;2021-05-25 10:52:51.465000;2021-05-25 11:19:16.478000;1.585.013;44;480;3;100;2021-05-28 10:47:39.811000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Female;No
60ace2c8ba3e0a95daf2e989;5e3ff7f1209f97228a6c26a9;APPROVED;2021-05-25 11:43:19.319000;2021-05-25 12:00:09.991000;1.010.672;33;303;0;100;2021-05-28 10:47:46.140000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Female;No
60acd6fdd771ed3becb3f93c;5e514faa677c10178f72d490;APPROVED;2021-05-25 10:54:36.983000;2021-05-25 11:21:28.762000;1.611.779;31;329;4;99;2021-05-28 10:47:54.048000;51867BAD;United Kingdom;United Kingdom;Part-Time;English;English;United Kingdom;Female;No
60abbd8a63829dd9b783c956;5e555c2280c35054d481ab71;APPROVED;2021-05-24 14:52:07.079000;2021-05-24 15:13:04.081000;1.257.002;23;53;0;100;2021-05-24 17:42:13.670000;51867BAD;Portugal;Portugal;Other;Portuguese;Portuguese, English, Spanish;Portugal;Female;Yes
60acd6f1415a05adcdda3df0;5e5eb2c22e5b4a046a224902;APPROVED;2021-05-25 10:52:33.411000;2021-05-25 11:08:20.525000;947.114;22;79;0;100;2021-05-28 10:48:02.634000;51867BAD;Brazil;Portugal;Other;Portuguese;English, Portuguese, Spanish;Portugal;Female;Yes
60acd689e508746cc7f8659e;5e740451f1e6520f51f3eece;APPROVED;2021-05-25 10:50:59.671000;2021-05-25 11:10:20.105000;1.160.434;46;414;1;100;2021-05-28 10:48:11.532000;51867BAD;United Kingdom;United Kingdom;Part-Time;English;English;United Kingdom;Female;No
60ace85bdda9ab3f52e7f71e;5e765060efdcf71bffa5683f;APPROVED;2021-05-25 12:06:51.783000;2021-05-25 12:35:00.179000;1.688.396;23;263;0;100;2021-05-28 10:48:17.140000;51867BAD;Italy;Italy;Part-Time;Italian;Italian, English;Italy;Male;Yes
60acc95c849aee20c20ba174;5e7c7bf3ca18002bd9cf6eca;APPROVED;2021-05-25 09:54:55.216000;2021-05-25 10:23:28.606000;1713.39;42;361;3;100;2021-05-28 10:48:21.433000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Male;No
60acc8b49c117325aad6cbf9;5e83247a6d7daf01d9a33632;APPROVED;2021-05-25 09:53:15.161000;2021-05-25 10:21:25.514000;1.690.353;49;337;1;100;2021-05-28 10:48:28.728000;51867BAD;United Kingdom;United Kingdom;Other;English;English;United Kingdom;Female;No
60ace0ae25b8e54fded29686;5e83425144753905a3a17ad8;APPROVED;2021-05-25 11:34:10.390000;2021-05-25 11:54:24.762000;1.214.372;45;370;5;98;2021-05-28 10:48:33.127000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Male;No
60acadb67c5fb98541b02c7a;5e8783c0890e930b54f7d348;APPROVED;2021-05-25 07:56:56.095000;2021-05-25 08:26:06.586000;1.750.491;20;260;2;100;2021-05-28 10:48:38.179000;51867BAD;Italy;Italy;Other;Italian;English, French, German, Italian, Spanish;Italy;Female;Yes
